,uniprot_id,Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_first
423,q15369,Q15369,ELOC_HUMAN,reviewed,Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1),ELOC TCEB1,Homo sapiens (Human),112,ELOC
424,q96ga3,Q96GA3,LTV1_HUMAN,reviewed,Protein LTV1 homolog,LTV1 C6orf93,Homo sapiens (Human),475,LTV1
425,p55317,P55317,FOXA1_HUMAN,reviewed,Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1) (Transcription factor 3A) (TCF-3A),FOXA1 HNF3A TCF3A,Homo sapiens (Human),472,FOXA1
426,p51946,P51946,CCNH_HUMAN,reviewed,Cyclin-H (MO15-associated protein) (p34) (p37),CCNH,Homo sapiens (Human),323,CCNH
427,q08ag7,Q08AG7,MZT1_HUMAN,reviewed,Mitotic-spindle organizing protein 1 (Mitotic-spindle organizing protein associated with a ring of gamma-tubulin 1),MZT1 C13orf37 MOZART1,Homo sapiens (Human),82,MZT1
428,q70el1,Q70EL1,UBP54_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 54 (EC 3.4.19.12) (Ubiquitin-specific peptidase 54),USP54 C10orf29,Homo sapiens (Human),1684,USP54
429,p62269,P62269,RS18_HUMAN,reviewed,Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3) (Ke3),RPS18 D6S218E,Homo sapiens (Human),152,RPS18
430,q13509,Q13509,TBB3_HUMAN,reviewed,Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III),TUBB3 TUBB4,Homo sapiens (Human),450,TUBB3
431,p62424,P62424,RL7A_HUMAN,reviewed,Large ribosomal subunit protein eL8 (60S ribosomal protein L7a) (PLA-X polypeptide) (Surfeit locus protein 3),RPL7A SURF-3 SURF3,Homo sapiens (Human),266,RPL7A
432,q8n2z9,Q8N2Z9,CENPS_HUMAN,reviewed,Centromere protein S (CENP-S) (Apoptosis-inducing TAF9-like domain-containing protein 1) (FANCM-associated histone fold protein 1) (FANCM-interacting histone fold protein 1) (Fanconi anemia-associated polypeptide of 16 kDa),CENPS APITD1 FAAP16 MHF1,Homo sapiens (Human),138,CENPS
433,q5vwg9,Q5VWG9,TAF3_HUMAN,reviewed,Transcription initiation factor TFIID subunit 3 (140 kDa TATA box-binding protein-associated factor) (TBP-associated factor 3) (Transcription initiation factor TFIID 140 kDa subunit) (TAF(II)140) (TAF140) (TAFII-140) (TAFII140),TAF3,Homo sapiens (Human),929,TAF3
434,p62068,P62068,UBP46_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 46 (EC 3.4.19.12) (Deubiquitinating enzyme 46) (Ubiquitin thioesterase 46) (Ubiquitin-specific-processing protease 46),USP46,Homo sapiens (Human),366,USP46
435,q16763,Q16763,UBE2S_HUMAN,reviewed,Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (E2-EPF) (Ubiquitin carrier protein S) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-conjugating enzyme E2-EPF5) (Ubiquitin-protein ligase S),UBE2S E2EPF OK/SW-cl.73,Homo sapiens (Human),222,UBE2S
436,p62701,P62701,RS4X_HUMAN,reviewed,"Small ribosomal subunit protein eS4, X isoform (40S ribosomal protein S4) (SCR10) (Single copy abundant mRNA protein)",RPS4X CCG2 RPS4 SCAR,Homo sapiens (Human),263,RPS4X
437,q13347,Q13347,EIF3I_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36),EIF3I EIF3S2 TRIP1,Homo sapiens (Human),325,EIF3I
438,q99878,Q99878,H2A1J_HUMAN,reviewed,Histone H2A type 1-J (Histone H2A/e),H2AC14 H2AFE HIST1H2AJ,Homo sapiens (Human),128,H2AC14
439,p13639,P13639,EF2_HUMAN,reviewed,Elongation factor 2 (EF-2) (EC 3.6.5.-),EEF2 EF2,Homo sapiens (Human),858,EEF2
440,q08043,Q08043,ACTN3_HUMAN,reviewed,Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein),ACTN3,Homo sapiens (Human),901,ACTN3
441,p46776,P46776,RL27A_HUMAN,reviewed,Large ribosomal subunit protein uL15 (60S ribosomal protein L27a),RPL27A,Homo sapiens (Human),148,RPL27A
442,q6ipu0,Q6IPU0,CENPP_HUMAN,reviewed,Centromere protein P (CENP-P),CENPP,Homo sapiens (Human),288,CENPP
443,p47813,P47813,IF1AX_HUMAN,reviewed,"Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (eIF1A X isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)",EIF1AX EIF1A EIF4C,Homo sapiens (Human),144,EIF1AX
444,o14686,O14686,KMT2D_HUMAN,reviewed,Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.364) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2),KMT2D ALR MLL2 MLL4,Homo sapiens (Human),5537,KMT2D
445,q16778,Q16778,H2B2E_HUMAN,reviewed,Histone H2B type 2-E (H2B-clustered histone 21) (Histone H2B-GL105) (Histone H2B.q) (H2B/q),H2BC21 H2BFQ HIST2H2BE,Homo sapiens (Human),126,H2BC21
446,p49736,P49736,MCM2_HUMAN,reviewed,DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28),MCM2 BM28 CCNL1 CDCL1 KIAA0030,Homo sapiens (Human),904,MCM2
447,q9bxw9,Q9BXW9,FACD2_HUMAN,reviewed,Fanconi anemia group D2 protein (Protein FACD2),FANCD2 FACD,Homo sapiens (Human),1451,FANCD2
448,q15554,Q15554,TERF2_HUMAN,reviewed,Telomeric repeat-binding factor 2 (TTAGGG repeat-binding factor 2) (Telomeric DNA-binding protein),TERF2 TRBF2 TRF2,Homo sapiens (Human),542,TERF2
449,q92922,Q92922,SMRC1_HUMAN,reviewed,SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (BAF155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1),SMARCC1 BAF155,Homo sapiens (Human),1105,SMARCC1
450,p27635,P27635,RL10_HUMAN,reviewed,Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (Laminin receptor homolog) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM),RPL10 DXS648E QM,Homo sapiens (Human),214,RPL10
451,q99877,Q99877,H2B1N_HUMAN,reviewed,Histone H2B type 1-N (Histone H2B.d) (H2B/d),H2BC15 H2BFD HIST1H2BN,Homo sapiens (Human),126,H2BC15
452,p61244,P61244,MAX_HUMAN,reviewed,Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X),MAX BHLHD4,Homo sapiens (Human),160,MAX
453,q07864,Q07864,DPOE1_HUMAN,reviewed,DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A),POLE POLE1,Homo sapiens (Human),2286,POLE
454,q96l50,Q96L50,LLR1_HUMAN,reviewed,Leucine-rich repeat protein 1 (4-1BB-mediated-signaling molecule) (4-1BBlrr) (LRR-repeat protein 1) (LRR-1) (Peptidylprolyl isomerase-like 5),LRR1 PPIL5,Homo sapiens (Human),414,LRR1
455,q9nqr1,Q9NQR1,KMT5A_HUMAN,reviewed,N-lysine methyltransferase KMT5A (EC 2.1.1.-) (H4-K20-HMTase KMT5A) (Histone-lysine N-methyltransferase KMT5A) (EC 2.1.1.361) (Lysine N-methyltransferase 5A) (Lysine-specific methylase 5A) (PR/SET domain-containing protein 07) (PR-Set7) (PR/SET07) (SET domain-containing protein 8),KMT5A PRSET7 SET07 SET8 SETD8,Homo sapiens (Human),393,KMT5A
456,q99728,Q99728,BARD1_HUMAN,reviewed,BRCA1-associated RING domain protein 1 (BARD-1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BARD1),BARD1,Homo sapiens (Human),777,BARD1
457,q969g3,Q969G3,SMCE1_HUMAN,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (BRG1-associated factor 57) (BAF57),SMARCE1 BAF57,Homo sapiens (Human),411,SMARCE1
458,q8izd2,Q8IZD2,KMT2E_HUMAN,reviewed,Inactive histone-lysine N-methyltransferase 2E (Inactive lysine N-methyltransferase 2E) (Myeloid/lymphoid or mixed-lineage leukemia protein 5),KMT2E MLL5,Homo sapiens (Human),1858,KMT2E
459,p63173,P63173,RL38_HUMAN,reviewed,Large ribosomal subunit protein eL38 (60S ribosomal protein L38),RPL38,Homo sapiens (Human),70,RPL38
460,q16611,Q16611,BAK_HUMAN,reviewed,Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7),BAK1 BAK BCL2L7 CDN1,Homo sapiens (Human),211,BAK1
461,q9ns91,Q9NS91,RAD18_HUMAN,reviewed,E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (Postreplication repair protein RAD18) (hHR18) (hRAD18) (RING finger protein 73) (RING-type E3 ubiquitin transferase RAD18),RAD18 RNF73,Homo sapiens (Human),495,RAD18
462,p51668,P51668,UB2D1_HUMAN,reviewed,Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Stimulator of Fe transport) (SFT) (UBC4/5 homolog) (UbcH5) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1),UBE2D1 SFT UBC5A UBCH5 UBCH5A,Homo sapiens (Human),147,UBE2D1
463,p60484,P60484,PTEN_HUMAN,reviewed,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (EC 3.1.3.-) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)",PTEN MMAC1 TEP1,Homo sapiens (Human),403,PTEN
464,q92794,Q92794,KAT6A_HUMAN,reviewed,"Histone acetyltransferase KAT6A (EC 2.3.1.48) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 3) (MYST-3) (Monocytic leukemia zinc finger protein) (Runt-related transcription factor-binding protein 2) (Zinc finger protein 220)",KAT6A MOZ MYST3 RUNXBP2 ZNF220,Homo sapiens (Human),2004,KAT6A
465,q13895,Q13895,BYST_HUMAN,reviewed,Bystin,BYSL ENP1,Homo sapiens (Human),437,BYSL
466,q15004,Q15004,PAF15_HUMAN,reviewed,PCNA-associated factor (Hepatitis C virus NS5A-transactivated protein 9) (HCV NS5A-transactivated protein 9) (Overexpressed in anaplastic thyroid carcinoma 1) (OEATC-1) (PCNA-associated factor of 15 kDa) (PAF15) (p15PAF) (PCNA-clamp-associated factor),PCLAF KIAA0101 NS5ATP9 PAF L5,Homo sapiens (Human),111,PCLAF
467,q04206,Q04206,TF65_HUMAN,reviewed,Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3),RELA NFKB3,Homo sapiens (Human),551,RELA
468,p14859,P14859,PO2F1_HUMAN,reviewed,"POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)",POU2F1 OCT1 OTF1,Homo sapiens (Human),743,POU2F1
469,q9p275,Q9P275,UBP36_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 36 (EC 2.3.2.-) (EC 3.4.19.12) (Deubiquitinating enzyme 36) (Ubiquitin thioesterase 36) (Ubiquitin-specific-processing protease 36),USP36 KIAA1453,Homo sapiens (Human),1123,USP36
470,q9ujq4,Q9UJQ4,SALL4_HUMAN,reviewed,Sal-like protein 4 (Zinc finger protein 797) (Zinc finger protein SALL4),SALL4 ZNF797,Homo sapiens (Human),1053,SALL4
471,q99832,Q99832,TCPH_HUMAN,reviewed,"T-complex protein 1 subunit eta (TCP-1-eta) (EC 3.6.1.-) (CCT-eta) (Chaperonin containing T-complex polypeptide 1 subunit 7) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed]",CCT7 CCTH NIP7-1,Homo sapiens (Human),543,CCT7
472,q9upp1,Q9UPP1,PHF8_HUMAN,reviewed,Histone lysine demethylase PHF8 (EC 1.14.11.27) (EC 1.14.11.65) (PHD finger protein 8) ([histone H3]-dimethyl-L-lysine(36) demethylase PHF8) ([histone H3]-dimethyl-L-lysine(9) demethylase PHF8),PHF8 KIAA1111 ZNF422,Homo sapiens (Human),1060,PHF8
473,p61086,P61086,UBE2K_HUMAN,reviewed,Ubiquitin-conjugating enzyme E2 K (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme K) (Huntingtin-interacting protein 2) (HIP-2) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-25 kDa) (Ubiquitin-conjugating enzyme E2(25K)) (Ubiquitin-conjugating enzyme E2-25K) (Ubiquitin-protein ligase),UBE2K HIP2 LIG,Homo sapiens (Human),200,UBE2K
474,q8iws0,Q8IWS0,PHF6_HUMAN,reviewed,PHD finger protein 6 (PHD-like zinc finger protein),PHF6 CENP-31 KIAA1823,Homo sapiens (Human),365,PHF6
475,q14566,Q14566,MCM6_HUMAN,reviewed,DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM),MCM6,Homo sapiens (Human),821,MCM6
476,p62891,P62891,RL39_HUMAN,reviewed,Large ribosomal subunit protein eL39 (60S ribosomal protein L39),RPL39,Homo sapiens (Human),51,RPL39
477,q9gzn1,Q9GZN1,ARP6_HUMAN,reviewed,Actin-related protein 6 (hArp6) (hARPX),ACTR6 CDA12,Homo sapiens (Human),396,ACTR6
478,q86x55,Q86X55,CARM1_HUMAN,reviewed,Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4),CARM1 PRMT4,Homo sapiens (Human),608,CARM1
479,q07912,Q07912,ACK1_HUMAN,reviewed,Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2),TNK2 ACK1,Homo sapiens (Human),1038,TNK2
480,q9byx4,Q9BYX4,IFIH1_HUMAN,reviewed,Interferon-induced helicase C domain-containing protein 1 (EC 3.6.4.13) (Clinically amyopathic dermatomyositis autoantigen 140 kDa) (CADM-140 autoantigen) (Helicase with 2 CARD domains) (Helicard) (Interferon-induced with helicase C domain protein 1) (Melanoma differentiation-associated protein 5) (MDA-5) (Murabutide down-regulated protein) (RIG-I-like receptor 2) (RLR-2) (RNA helicase-DEAD box protein 116),IFIH1 MDA5 RH116,Homo sapiens (Human),1025,IFIH1
481,q70cq2,Q70CQ2,UBP34_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 34 (EC 3.4.19.12) (Deubiquitinating enzyme 34) (Ubiquitin thioesterase 34) (Ubiquitin-specific-processing protease 34),USP34 KIAA0570 KIAA0729,Homo sapiens (Human),3546,USP34
482,q71sy5,Q71SY5,MED25_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 25 (Activator interaction domain-containing protein 1) (Activator-recruited cofactor 92 kDa component) (ARC92) (Mediator complex subunit 25) (p78),MED25 ACID1 ARC92 PTOV2 TCBAP0758,Homo sapiens (Human),747,MED25
483,q5tec6,Q5TEC6,H37_HUMAN,reviewed,Histone H3-7,H3-7 H3-2 HIST2H3PS2,Homo sapiens (Human),136,H3-7
484,q8wxe1,Q8WXE1,ATRIP_HUMAN,reviewed,ATR-interacting protein (ATM and Rad3-related-interacting protein),ATRIP AGS1,Homo sapiens (Human),791,ATRIP
485,q4fzb7,Q4FZB7,KMT5B_HUMAN,reviewed,Histone-lysine N-methyltransferase KMT5B (Lysine N-methyltransferase 5B) (Lysine-specific methyltransferase 5B) (Suppressor of variegation 4-20 homolog 1) (Su(var)4-20 homolog 1) (Suv4-20h1) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361),KMT5B SUV420H1 CGI-85,Homo sapiens (Human),885,KMT5B
486,o60566,O60566,BUB1B_HUMAN,reviewed,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1),BUB1B BUBR1 MAD3L SSK1,Homo sapiens (Human),1050,BUB1B
487,q16384,Q16384,SSX1_HUMAN,reviewed,"Protein SSX1 (Cancer/testis antigen 5.1) (CT5.1) (Synovial sarcoma, X breakpoint 1)",SSX1,Homo sapiens (Human),188,SSX1
488,p53803,P53803,RPAB4_HUMAN,reviewed,"DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RNA polymerases I, II, and III subunit ABC4) (ABC10-alpha) (DNA-directed RNA polymerase II subunit K) (RNA polymerase II 7.0 kDa subunit) (RPB7.0) (RPB10alpha)",POLR2K,Homo sapiens (Human),58,POLR2K
489,q5ta45,Q5TA45,INT11_HUMAN,reviewed,Integrator complex subunit 11 (Int11) (EC 3.1.27.-) (Cleavage and polyadenylation-specific factor 3-like protein) (CPSF3-like protein) (Protein related to CPSF subunits of 68 kDa) (RC-68),INTS11 CPSF3L RC68,Homo sapiens (Human),600,INTS11
490,p62899,P62899,RL31_HUMAN,reviewed,Large ribosomal subunit protein eL31 (60S ribosomal protein L31),RPL31,Homo sapiens (Human),125,RPL31
491,q96hr3,Q96HR3,MED30_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 30 (Mediator complex subunit 30) (TRAP/Mediator complex component TRAP25) (Thyroid hormone receptor-associated protein 6) (Thyroid hormone receptor-associated protein complex 25 kDa component) (Trap25),MED30 THRAP6 TRAP25,Homo sapiens (Human),178,MED30
492,q9h2j4,Q9H2J4,PDCL3_HUMAN,reviewed,Phosducin-like protein 3 (HTPHLP) (PhPL3) (Viral IAP-associated factor 1) (VIAF-1),PDCL3 PhLP2A VIAF1,Homo sapiens (Human),239,PDCL3
493,q15542,Q15542,TAF5_HUMAN,reviewed,Transcription initiation factor TFIID subunit 5 (Transcription initiation factor TFIID 100 kDa subunit) (TAF(II)100) (TAFII-100) (TAFII100),TAF5 TAF2D,Homo sapiens (Human),800,TAF5
494,p55884,P55884,EIF3B_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116),EIF3B EIF3S9,Homo sapiens (Human),814,EIF3B
495,p61254,P61254,RL26_HUMAN,reviewed,Large ribosomal subunit protein uL24 (60S ribosomal protein L26),RPL26,Homo sapiens (Human),145,RPL26
496,p06899,P06899,H2B1J_HUMAN,reviewed,Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r),H2BC11 H2BFR HIST1H2BJ,Homo sapiens (Human),126,H2BC11
497,q9c005,Q9C005,DPY30_HUMAN,reviewed,Protein dpy-30 homolog (Dpy-30-like protein) (Dpy-30L),DPY30,Homo sapiens (Human),99,DPY30
498,q9nrx1,Q9NRX1,PNO1_HUMAN,reviewed,RNA-binding protein PNO1 (Partner of NOB1),PNO1,Homo sapiens (Human),252,PNO1
499,o95863,O95863,SNAI1_HUMAN,reviewed,Zinc finger protein SNAI1 (Protein snail homolog 1) (Protein sna),SNAI1 SNAH,Homo sapiens (Human),264,SNAI1
500,q96fw1,Q96FW1,OTUB1_HUMAN,reviewed,Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (hOTU1) (Ubiquitin-specific-processing protease OTUB1),OTUB1 OTB1 OTU1 HSPC263,Homo sapiens (Human),271,OTUB1
501,o00267,O00267,SPT5H_HUMAN,reviewed,Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein),SUPT5H SPT5 SPT5H,Homo sapiens (Human),1087,SUPT5H
502,q53hl2,Q53HL2,BOREA_HUMAN,reviewed,Borealin (Cell division cycle-associated protein 8) (Dasra-B) (hDasra-B) (Pluripotent embryonic stem cell-related gene 3 protein),CDCA8 PESCRG3,Homo sapiens (Human),280,CDCA8
503,o75586,O75586,MED6_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 6 (Activator-recruited cofactor 33 kDa component) (ARC33) (Mediator complex subunit 6) (hMed6) (Renal carcinoma antigen NY-REN-28),MED6 ARC33,Homo sapiens (Human),246,MED6
504,q8nhz8,Q8NHZ8,CDC26_HUMAN,reviewed,Anaphase-promoting complex subunit CDC26 (Anaphase-promoting complex subunit 12) (APC12) (Cell division cycle protein 26 homolog),CDC26 ANAPC12 C9orf17,Homo sapiens (Human),85,CDC26
505,p35716,P35716,SOX11_HUMAN,reviewed,Transcription factor SOX-11,SOX11,Homo sapiens (Human),441,SOX11
506,p27694,P27694,RFA1_HUMAN,reviewed,"Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]",RPA1 REPA1 RPA70,Homo sapiens (Human),616,RPA1
507,p83881,P83881,RL36A_HUMAN,reviewed,Large ribosomal subunit protein eL42 (60S ribosomal protein L36a) (60S ribosomal protein L44) (Cell growth-inhibiting gene 15 protein) (Cell migration-inducing gene 6 protein),RPL36A RPL44 GIG15 MIG6,Homo sapiens (Human),106,RPL36A
508,q14839,Q14839,CHD4_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.-) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta),CHD4,Homo sapiens (Human),1912,CHD4
509,o60260,O60260,PRKN_HUMAN,reviewed,E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2),PRKN PARK2,Homo sapiens (Human),465,PRKN
510,o15550,O15550,KDM6A_HUMAN,reviewed,Lysine-specific demethylase 6A (EC 1.14.11.68) (Histone demethylase UTX) (Ubiquitously-transcribed TPR protein on the X chromosome) (Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase 6A),KDM6A UTX,Homo sapiens (Human),1401,KDM6A
511,q96gm5,Q96GM5,SMRD1_HUMAN,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (60 kDa BRG-1/Brm-associated factor subunit A) (BRG1-associated factor 60A) (BAF60A) (SWI/SNF complex 60 kDa subunit),SMARCD1 BAF60A,Homo sapiens (Human),515,SMARCD1
512,p48729,P48729,KC1A_HUMAN,reviewed,Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1),CSNK1A1,Homo sapiens (Human),337,CSNK1A1
513,p83916,P83916,CBX1_HUMAN,reviewed,Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta),CBX1 CBX,Homo sapiens (Human),185,CBX1
514,q9uq80,Q9UQ80,PA2G4_HUMAN,reviewed,Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1),PA2G4 EBP1,Homo sapiens (Human),394,PA2G4
515,p67775,P67775,PP2AA_HUMAN,reviewed,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C),PPP2CA,Homo sapiens (Human),309,PPP2CA
516,o95619,O95619,YETS4_HUMAN,reviewed,YEATS domain-containing protein 4 (Glioma-amplified sequence 41) (Gas41) (NuMA-binding protein 1) (NuBI-1) (NuBI1),YEATS4 GAS41,Homo sapiens (Human),227,YEATS4
517,q71ui9,Q71UI9,H2AV_HUMAN,reviewed,Histone H2A.V (H2A.F/Z) (H2A.Z variant histone 2),H2AZ2 H2AFV H2AV,Homo sapiens (Human),128,H2AZ2
518,q86vp1,Q86VP1,TAXB1_HUMAN,reviewed,Tax1-binding protein 1 (TRAF6-binding protein),TAX1BP1 T6BP PRO0105,Homo sapiens (Human),789,TAX1BP1
519,o75475,O75475,PSIP1_HUMAN,reviewed,PC4 and SFRS1-interacting protein (CLL-associated antigen KW-7) (Dense fine speckles 70 kDa protein) (DFS 70) (Lens epithelium-derived growth factor) (Transcriptional coactivator p75/p52),PSIP1 DFS70 LEDGF PSIP2,Homo sapiens (Human),530,PSIP1
520,o14744,O14744,ANM5_HUMAN,reviewed,"Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]",PRMT5 HRMT1L5 IBP72 JBP1 SKB1,Homo sapiens (Human),637,PRMT5
521,p48431,P48431,SOX2_HUMAN,reviewed,Transcription factor SOX-2,SOX2,Homo sapiens (Human),317,SOX2
522,p62888,P62888,RL30_HUMAN,reviewed,Large ribosomal subunit protein eL30 (60S ribosomal protein L30),RPL30,Homo sapiens (Human),115,RPL30
523,q9npf5,Q9NPF5,DMAP1_HUMAN,reviewed,DNA methyltransferase 1-associated protein 1 (DNMAP1) (DNMT1-associated protein 1),DMAP1 KIAA1425,Homo sapiens (Human),467,DMAP1
524,q96ha7,Q96HA7,TONSL_HUMAN,reviewed,Tonsoku-like protein (Inhibitor of kappa B-related protein) (I-kappa-B-related protein) (IkappaBR) (NF-kappa-B inhibitor-like protein 2) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2),TONSL IKBR NFKBIL2,Homo sapiens (Human),1378,TONSL
525,o15371,O15371,EIF3D_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66),EIF3D EIF3S7,Homo sapiens (Human),548,EIF3D
526,q6pi98,Q6PI98,IN80C_HUMAN,reviewed,INO80 complex subunit C (IES6 homolog) (hIes6),INO80C C18orf37,Homo sapiens (Human),192,INO80C
527,o15016,O15016,TRI66_HUMAN,reviewed,Tripartite motif-containing protein 66,TRIM66 C11orf29 KIAA0298,Homo sapiens (Human),1351,TRIM66
528,q9y6k1,Q9Y6K1,DNM3A_HUMAN,reviewed,DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA),DNMT3A,Homo sapiens (Human),912,DNMT3A
